customer_id,status,churn_label,churn_category,churn_reason,gender,age,senior_citizen,married,num_dependents,zip_code,account_id,tenure_months,num_referrals,has_internet_service,internet_type,has_unlimited_data,has_phone_service,has_multiple_lines,has_premium_tech_support,has_online_security,has_online_backup,has_device_protection,contract_type,paperless_billing,payment_method,avg_long_distance_fee_monthly,total_long_distance_fee,avg_gb_download_monthly,stream_tv,stream_movie,stream_music,total_monthly_fee,total_charges_quarter,total_refunds,area_id,population,city
0013-EXCHZ,Churned,Yes,Dissatisfaction,Network reliability,Female,75,Yes,Yes,0,93010,BFIN-DLMOA,3,3,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Credit Card,7.38,22.14,11,Yes,No,No,83.9,267.4,0.0,607,42853,Camarillo
0014-BMAQU,Stayed,No,,,Male,52,No,Yes,0,94558,AFEO-XOOCP,63,8,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,12.96,816.48,7,No,No,No,84.65,5377.8,0.0,963,63947,Napa
0016-QLJIS,Stayed,No,,,Female,43,No,Yes,1,95681,DEMQ-MFXWC,65,3,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,28.46,1849.9,14,Yes,Yes,Yes,90.45,5957.9,0.0,1390,1219,Sheridan
0019-EFAEP,Stayed,No,,,Female,32,No,No,0,91942,AIPP-VTDXJ,72,0,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,2.25,162.0,16,Yes,No,No,101.3,7261.25,0.0,303,24005,La Mesa
0019-GFNTW,Stayed,No,,,Female,39,No,No,0,93441,CJHA-SRKIB,56,0,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,0.0,0.0,19,No,No,No,45.05,2560.1,0.0,716,1317,Los Olivos
0020-INWCK,Stayed,No,,,Female,58,No,Yes,2,93286,CDSG-JLJOW,71,9,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Two Year,Yes,Credit Card,27.26,1935.46,12,No,Yes,Yes,95.75,6849.4,0.0,685,8870,Woodlake
0023-UYUPN,Stayed,No,,,Female,79,Yes,Yes,0,93601,JEHS-UYRVX,50,0,No,None,No,Yes,Yes,No,No,No,No,One Year,No,Bank Withdrawal,31.43,1571.5,0,No,No,No,25.2,1306.3,0.0,767,1968,Ahwahnee
0027-KWYKW,Stayed,No,,,Female,30,No,Yes,2,93201,HBIR-OSCLJ,23,1,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,34.91,802.93,30,Yes,No,No,83.75,1849.95,0.0,632,1054,Alpaugh
0036-IHMOT,Stayed,No,,,Female,37,No,Yes,3,93648,EDRJ-TSFHQ,55,10,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,Yes,One Year,Yes,Bank Withdrawal,35.04,1927.2,57,Yes,Yes,Yes,103.7,5656.75,0.0,803,12587,Parlier
0048-LUMLS,Stayed,No,,,Male,23,No,Yes,3,94038,ILYA-YMAZQ,37,1,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,One Year,No,Credit Card,43.01,1591.37,51,Yes,Yes,Yes,91.2,3247.55,0.0,873,3064,Moss Beach
0048-PIHNL,Stayed,No,,,Female,48,No,Yes,0,90058,HTNO-EBIGR,49,5,No,None,No,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,49.58,2429.42,0,No,No,No,20.45,900.9,0.0,49,3642,Los Angeles
0052-DCKON,Stayed,No,,,Male,28,No,Yes,0,90063,GGNP-KVFOQ,66,9,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,43.77,2888.82,41,Yes,Yes,Yes,115.8,7942.15,0.0,53,55668,Los Angeles
0052-YNYOT,Stayed,No,,,Female,28,No,No,0,92231,BTJY-YSXTR,67,0,No,None,No,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,23.12,1549.04,0,No,No,No,20.55,1343.4,30.53,391,27804,Calexico
0060-FUALY,Stayed,No,,,Female,60,No,Yes,0,90003,AUVC-CVWLX,59,4,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,16.39,967.01,14,Yes,No,No,94.75,5597.65,0.0,3,58198,Los Angeles
0068-FIGTF,Stayed,No,,,Female,20,No,No,0,94539,HPEM-SAPQB,27,0,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Yes,One Year,No,Credit Card,48.91,1320.57,59,Yes,Yes,Yes,78.2,2078.95,0.0,950,46917,Fremont
0078-XZMHT,Stayed,No,,,Male,19,No,Yes,0,93291,IEDV-LPUMA,72,5,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,32.36,2329.92,52,Yes,Yes,Yes,85.15,6316.2,0.0,687,36718,Visalia
0080-EMYVY,Stayed,No,,,Female,64,No,No,0,95240,IQDD-YQUBG,14,0,Yes,Cable,Yes,Yes,No,No,No,Yes,No,One Year,No,Credit Card,24.04,336.56,12,No,No,No,51.45,727.85,0.0,1147,45755,Lodi
0082-LDZUE,Joined,No,,,Male,54,No,No,0,94515,COZY-HIJAK,1,0,Yes,DSL,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,42.95,42.95,9,No,No,No,44.3,44.3,0.0,936,7384,Calistoga
0082-OQIQY,Stayed,No,,,Male,50,No,No,0,95230,GPAX-ILXLY,29,0,Yes,Fiber Optic,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,2.05,59.45,17,Yes,Yes,Yes,94.2,2607.6,0.0,1141,596,Farmington
0083-PIVIK,Stayed,No,,,Male,25,No,No,0,96134,DUQI-CCNHE,64,0,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,5.49,351.36,69,Yes,No,No,81.25,5567.55,0.0,1616,2595,Tulelake
0093-EXYQL,Stayed,No,,,Female,72,Yes,No,0,93023,HQFH-XUZYZ,40,0,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,44.14,1765.6,23,Yes,Yes,No,91.55,3673.6,0.0,613,21633,Ojai
0093-XWZFY,Churned,Yes,Competitor,Competitor had better devices,Male,51,No,No,0,92241,FIWL-DSBUU,40,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,37.69,1507.6,15,Yes,Yes,Yes,104.5,4036.85,0.0,397,5529,Desert Hot Springs
0096-FCPUF,Stayed,No,,,Male,58,No,No,0,95404,HIZY-XWGJG,30,0,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,Month-to-Month,Yes,Mailed Check,2.64,79.2,15,No,Yes,Yes,64.5,1888.45,0.0,1223,35057,Santa Rosa
0100-DUVFC,Stayed,No,,,Male,66,Yes,Yes,0,90744,BPMN-XICPJ,70,3,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,One Year,Yes,Bank Withdrawal,39.49,2764.3,28,Yes,Yes,No,104.8,7308.95,6.11,146,53323,Wilmington
0107-WESLM,Churned,Yes,Attitude,Attitude of support person,Male,32,No,No,0,95255,BYZS-LTHWI,1,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,31.77,31.77,0,No,No,No,19.85,19.85,0.0,1157,2198,West Point
0111-KLBQG,Stayed,No,,,Male,71,Yes,Yes,1,92256,BTUI-SBNBD,32,9,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,No,One Year,Yes,Mailed Check,31.86,1019.52,23,Yes,Yes,Yes,93.95,2861.45,0.0,406,3499,Morongo Valley
0112-QAWRZ,Stayed,No,,,Male,49,No,Yes,2,92266,IZMU-ORFIM,16,8,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,48.71,779.36,12,Yes,No,No,90.8,1442.2,0.0,413,291,Palo Verde
0112-QWPNC,Churned,Yes,Competitor,Competitor offered higher download speeds,Male,61,No,Yes,0,93563,ALYE-SMSWW,49,1,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,39.55,1937.95,10,Yes,Yes,Yes,84.35,4059.35,0.0,765,413,Valyermo
0114-IGABW,Stayed,No,,,Female,40,No,Yes,0,93428,HOCF-TNEOJ,71,2,Yes,Cable,Yes,No,No,Yes,No,Yes,Yes,Two Year,No,Bank Withdrawal,0.0,0.0,29,Yes,Yes,Yes,58.25,4145.9,0.0,707,6526,Cambria
0122-OAHPZ,Churned,Yes,Competitor,Competitor made better offer,Female,29,No,No,0,92122,EGZT-IEJXV,7,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,28.62,200.34,26,No,No,Yes,73.85,511.25,13.03,370,34902,San Diego
0123-CRBRT,Stayed,No,,,Female,62,No,Yes,0,91755,ISWV-WHAIZ,61,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,47.19,2878.59,28,Yes,Yes,Yes,88.1,5526.75,0.0,264,26933,Monterey Park
0125-LZQXK,Churned,Yes,Attitude,Attitude of service provider,Male,42,No,No,0,95305,HQCS-IIBJD,15,0,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.92,688.8,12,Yes,Yes,Yes,101.35,1553.95,0.0,1162,167,Big Oak Flat
0129-KPTWJ,Stayed,No,,,Male,39,No,Yes,0,95660,HPEK-PTEZX,72,9,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,33.22,2391.84,23,Yes,Yes,Yes,94.65,6747.35,0.0,1373,32202,North Highlands
0130-SXOUN,Stayed,No,,,Male,55,No,No,0,95443,DLFY-SXHWM,66,0,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Month-to-Month,No,Credit Card,48.78,3219.48,8,No,Yes,Yes,89.4,5976.9,36.02,1248,175,Glenhaven
0133-BMFZO,Churned,Yes,Competitor,Competitor offered higher download speeds,Female,40,No,No,0,91803,IZAE-LLKQO,2,0,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,36.81,73.62,16,No,No,No,86.25,181.65,0.0,286,30635,Alhambra
0134-XWXCE,Stayed,No,,,Female,76,Yes,No,0,90403,HSAV-LYWGJ,44,0,Yes,DSL,Yes,Yes,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,7.72,339.68,17,Yes,Yes,Yes,74.85,3268.05,17.91,104,23559,Santa Monica
0135-NMXAP,Churned,Yes,Attitude,Attitude of support person,Female,57,No,No,0,95240,GUWH-NOZWJ,12,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,14.38,172.56,6,Yes,No,No,89.75,1052.4,0.0,1147,45755,Lodi
0137-UDEUO,Churned,Yes,Price,Long distance charges,Female,24,No,No,0,95204,BOJD-CWTTH,3,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,25.75,77.25,0,No,No,No,19.85,63.75,0.0,1124,30476,Stockton
0141-YEAYS,Stayed,No,,,Female,77,Yes,No,0,92028,EZAH-UMQJK,27,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,2.97,80.19,4,No,No,No,86.45,2401.05,0.0,325,42239,Fallbrook
0178-SZBHO,Stayed,No,,,Male,54,No,Yes,1,95379,COSM-NRJIM,47,7,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,Month-to-Month,No,Bank Withdrawal,1.09,51.23,13,Yes,No,No,87.2,4017.45,0.0,1214,3979,Tuolumne
0187-WZNAB,Stayed,No,,,Female,56,No,Yes,2,93616,BPUM-JRBCR,27,6,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Month-to-Month,No,Credit Card,46.66,1259.82,28,No,No,No,74.4,1972.35,0.0,780,1965,Del Rey
0193-ESZXP,Churned,Yes,Attitude,Attitude of support person,Female,73,Yes,Yes,0,93445,IVST-CZJKE,58,1,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Credit Card,16.94,982.52,19,Yes,Yes,Yes,105.5,6205.5,0.0,719,7435,Oceano
0196-JTUQI,Stayed,No,,,Female,59,No,No,0,95612,AHDR-OUQUJ,9,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,9.27,83.43,28,No,No,No,75.2,633.85,0.0,1336,1417,Clarksburg
0196-VULGZ,Churned,,Other,Deceased,Female,78,Yes,Yes,0,92620,FQMD-JCIWF,6,1,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,28.71,172.26,17,No,Yes,No,84.35,474.9,0.0,531,26419,Irvine
0215-BQKGS,Stayed,No,,,Male,52,No,No,0,92844,IIIC-GRGVZ,30,0,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,24.73,741.9,20,No,No,No,84.3,2438.6,0.0,587,23481,Garden Grove
0218-QNVAS,Stayed,No,,,Male,22,No,Yes,1,92203,BHHC-KRKQR,71,1,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,One Year,No,Bank Withdrawal,28.34,2012.14,59,Yes,Yes,Yes,100.55,7113.75,16.99,383,2743,Indio
0219-QAERP,Stayed,No,,,Male,33,No,Yes,0,93033,FMEU-GBJOZ,30,2,No,None,No,Yes,No,No,No,No,No,One Year,No,Credit Card,9.81,294.3,0,No,No,No,19.8,576.65,0.0,615,77791,Oxnard
0229-LFJAF,Stayed,No,,,Male,53,No,No,0,93611,EPKZ-MFTKX,72,0,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,3.66,263.52,13,No,No,No,69.65,4908.25,0.0,776,46858,Clovis
0230-WEQUW,Stayed,No,,,Male,38,No,Yes,0,91364,BPNI-BCSPD,66,1,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.0,0.0,29,Yes,No,No,56.6,3789.2,0.0,217,25988,Woodland Hills
0237-YFUTL,Stayed,No,,,Female,62,No,Yes,0,92655,EWTL-FJAWT,50,4,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,34.57,1728.5,13,Yes,Yes,Yes,109.65,5405.8,0.0,544,8660,Midway City
